,symbol,interval,open_time,open,high,low,close,volume,turnover
2020-01-01 00:00:00,BTCUSD,1,1577829600,7157,7157.5,7156.5,7156.5,198142,27.68614263
2020-01-01 00:01:00,BTCUSD,1,1577829660,7156.5,7157,7156.5,7157,6135,0.85720507
2020-01-01 00:02:00,BTCUSD,1,1577829720,7157,7157,7157,7157,53118,7.42182476
2020-01-01 00:03:00,BTCUSD,1,1577829780,7157,7157,7156.5,7157,354895,49.58712678
2020-01-01 00:04:00,BTCUSD,1,1577829840,7157,7157,7157,7157,252210,35.23962544
2020-01-01 00:05:00,BTCUSD,1,1577829900,7157,7157,7156.5,7157,363398,50.77520505
2020-01-01 00:06:00,BTCUSD,1,1577829960,7157,7157,7156.5,7156.5,3296,0.46053618
2020-01-01 00:07:00,BTCUSD,1,1577830020,7156.5,7157,7156.5,7156.5,9034,1.26231927
2020-01-01 00:08:00,BTCUSD,1,1577830080,7156.5,7158.5,7156.5,7158.5,138756,19.38570324
2020-01-01 00:09:00,BTCUSD,1,1577830140,7158.5,7158.5,7158,7158,232374,32.46127119
2020-01-01 00:10:00,BTCUSD,1,1577830200,7158,7162.5,7158,7162.5,119633,16.70572301
2020-01-01 00:11:00,BTCUSD,1,1577830260,7162.5,7162.5,7162,7162,13279,1.85397247
2020-01-01 00:12:00,BTCUSD,1,1577830320,7162,7162.5,7162,7162,7270,1.015033
2020-01-01 00:13:00,BTCUSD,1,1577830380,7162,7162.5,7162,7162.5,112,0.01563797
2020-01-01 00:14:00,BTCUSD,1,1577830440,7162.5,7162.5,7162.5,7162.5,2442,0.34094238
2020-01-01 00:15:00,BTCUSD,1,1577830500,7162.5,7162.5,7162,7162.5,3971,0.5544156
2020-01-01 00:16:00,BTCUSD,1,1577830560,7162.5,7162.5,7162,7162,18009,2.51434879
2020-01-01 00:17:00,BTCUSD,1,1577830620,7162,7162.5,7162,7162.5,10605,1.48072624
2020-01-01 00:18:00,BTCUSD,1,1577830680,7162.5,7163.5,7162.5,7163.5,22949,3.20360799
2020-01-01 00:19:00,BTCUSD,1,1577830740,7163.5,7163.5,7163,7163,2402,0.33531435
2020-01-01 00:20:00,BTCUSD,1,1577830800,7163,7163.5,7163,7163.5,79493,11.09697897
2020-01-01 00:21:00,BTCUSD,1,1577830860,7163.5,7164.5,7163,7164.5,38940,5.43525937
2020-01-01 00:22:00,BTCUSD,1,1577830920,7164.5,7164.5,7164,7164,345530,48.22827196
2020-01-01 00:23:00,BTCUSD,1,1577830980,7164,7164.5,7164,7164.5,341125,47.61323182
2020-01-01 00:24:00,BTCUSD,1,1577831040,7164.5,7164.5,7164,7164,253519,35.38618631
2020-01-01 00:25:00,BTCUSD,1,1577831100,7164,7164.5,7164,7164,3566,0.49776655
2020-01-01 00:26:00,BTCUSD,1,1577831160,7164,7164.5,7164,7164,8020,1.11948611
2020-01-01 00:27:00,BTCUSD,1,1577831220,7164,7164.5,7164,7164.5,266629,37.21531349
2020-01-01 00:28:00,BTCUSD,1,1577831280,7164.5,7165,7164.5,7165,30480,4.25415862
2020-01-01 00:29:00,BTCUSD,1,1577831340,7165,7165,7164.5,7164.5,244580,34.13763499
2020-01-01 00:30:00,BTCUSD,1,1577831400,7164.5,7165,7164.5,7165,73694,10.28533172
2020-01-01 00:31:00,BTCUSD,1,1577831460,7165,7165,7164.5,7164.5,26688,3.72480637
2020-01-01 00:32:00,BTCUSD,1,1577831520,7164.5,7165,7164.5,7165,4991,0.69660972
2020-01-01 00:33:00,BTCUSD,1,1577831580,7165,7166,7165,7166,36943,5.15585175
2020-01-01 00:34:00,BTCUSD,1,1577831640,7166,7166,7165.5,7166,27251,3.8028451
2020-01-01 00:35:00,BTCUSD,1,1577831700,7166,7167,7166,7167,45009,6.28022243
2020-01-01 00:36:00,BTCUSD,1,1577831760,7167,7167.5,7167,7167.5,24028,3.35236007
2020-01-01 00:37:00,BTCUSD,1,1577831820,7167.5,7167.5,7167,7167.5,69773,9.73463532
2020-01-01 00:38:00,BTCUSD,1,1577831880,7167.5,7168,7167,7168,55476,7.73971473
2020-01-01 00:39:00,BTCUSD,1,1577831940,7168,7168,7167.5,7168,126848,17.69721734
2020-01-01 00:40:00,BTCUSD,1,1577832000,7168,7168,7167.5,7167.5,119198,16.62930303
2020-01-01 00:41:00,BTCUSD,1,1577832060,7167.5,7168,7167.5,7167.5,56818,7.92711762
2020-01-01 00:42:00,BTCUSD,1,1577832120,7167.5,7167.5,7167,7167.5,61058,8.51901461
2020-01-01 00:43:00,BTCUSD,1,1577832180,7167.5,7167.5,7167,7167.5,18015,2.51360054
2020-01-01 00:44:00,BTCUSD,1,1577832240,7167.5,7167.5,7167.5,7167.5,43272,6.03725145
2020-01-01 00:45:00,BTCUSD,1,1577832300,7167.5,7167.5,7167,7167.5,24886,3.47213435
2020-01-01 00:46:00,BTCUSD,1,1577832360,7167.5,7167.5,7167,7167.5,187698,26.18742208
2020-01-01 00:47:00,BTCUSD,1,1577832420,7167.5,7168,7167.5,7168,106000,14.7886714
2020-01-01 00:48:00,BTCUSD,1,1577832480,7168,7168,7167.5,7167.5,55166,7.69653234
2020-01-01 00:49:00,BTCUSD,1,1577832540,7167.5,7168,7167.5,7167.5,16120,2.24889541
2020-01-01 00:50:00,BTCUSD,1,1577832600,7167.5,7170,7167.5,7170,154849,21.59916092
2020-01-01 00:51:00,BTCUSD,1,1577832660,7170,7173,7169.5,7173,249249,34.75211789
2020-01-01 00:52:00,BTCUSD,1,1577832720,7173,7173.5,7173,7173.5,159778,22.27336753
2020-01-01 00:53:00,BTCUSD,1,1577832780,7173.5,7173.5,7173,7173.5,16654,2.32160026
2020-01-01 00:54:00,BTCUSD,1,1577832840,7173.5,7178.5,7173,7177,1209599,168.53054762
2020-01-01 00:55:00,BTCUSD,1,1577832900,7177,7178,7177,7177.5,263396,36.69846559
2020-01-01 00:56:00,BTCUSD,1,1577832960,7177.5,7178,7177.5,7178,13493,1.87978608
2020-01-01 00:57:00,BTCUSD,1,1577833020,7178,7178,7177.5,7178,2011,0.2801635
2020-01-01 00:58:00,BTCUSD,1,1577833080,7178,7178,7177.5,7177.5,17520,2.44093299
2020-01-01 00:59:00,BTCUSD,1,1577833140,7177.5,7178,7177.5,7178,52964,7.37909102
2020-01-01 01:00:00,BTCUSD,1,1577833200,7178,7178,7177.5,7177.5,169231,23.57784286
2020-01-01 01:01:00,BTCUSD,1,1577833260,7177.5,7178,7177.5,7177.5,68520,9.54644024
2020-01-01 01:02:00,BTCUSD,1,1577833320,7177.5,7177.5,7174.5,7174.5,277653,38.69425877
2020-01-01 01:03:00,BTCUSD,1,1577833380,7174.5,7174.5,7168,7168,484426,67.55718661
2020-01-01 01:04:00,BTCUSD,1,1577833440,7168,7168.5,7168,7168,727460,101.48712695
2020-01-01 01:05:00,BTCUSD,1,1577833500,7168,7170,7168,7170,210340,29.34343862
2020-01-01 01:06:00,BTCUSD,1,1577833560,7170,7170.5,7170,7170.5,325811,45.43790744
2020-01-01 01:07:00,BTCUSD,1,1577833620,7170.5,7170.5,7169,7169,213719,29.81054413
2020-01-01 01:08:00,BTCUSD,1,1577833680,7169,7169.5,7169,7169,58968,8.22517175
2020-01-01 01:09:00,BTCUSD,1,1577833740,7169,7169.5,7169,7169,42719,5.95881719
2020-01-01 01:10:00,BTCUSD,1,1577833800,7169,7169.5,7169,7169.5,46130,6.43452754
2020-01-01 01:11:00,BTCUSD,1,1577833860,7169.5,7169.5,7169,7169.5,5667,0.79044625
2020-01-01 01:12:00,BTCUSD,1,1577833920,7169.5,7169.5,7169.5,7169.5,134,0.01869027
2020-01-01 01:13:00,BTCUSD,1,1577833980,7169.5,7169.5,7169,7169,739,0.1030755
2020-01-01 01:14:00,BTCUSD,1,1577834040,7169,7169.5,7169,7169.5,13782,1.92232349
2020-01-01 01:15:00,BTCUSD,1,1577834100,7169.5,7169.5,7169,7169,18692,2.60733678
2020-01-01 01:16:00,BTCUSD,1,1577834160,7169,7169.5,7169,7169.5,13505,1.88367381
2020-01-01 01:17:00,BTCUSD,1,1577834220,7169.5,7169.5,7169,7169,8590,1.19820607
2020-01-01 01:18:00,BTCUSD,1,1577834280,7169,7169.5,7167.5,7167.5,126061,17.58510303
2020-01-01 01:19:00,BTCUSD,1,1577834340,7167.5,7168,7167.5,7168,317611,44.311351
2020-01-01 01:20:00,BTCUSD,1,1577834400,7168,7168,7167.5,7167.5,310196,43.27810798
2020-01-01 01:21:00,BTCUSD,1,1577834460,7167.5,7168,7166.5,7166.5,290994,40.60353282
2020-01-01 01:22:00,BTCUSD,1,1577834520,7166.5,7166.5,7166.5,7166.5,190259,26.54838474
2020-01-01 01:23:00,BTCUSD,1,1577834580,7166.5,7167,7166.5,7167,1750,0.24418927
2020-01-01 01:24:00,BTCUSD,1,1577834640,7167,7167,7166.5,7166.5,34997,4.88341555
2020-01-01 01:25:00,BTCUSD,1,1577834700,7166.5,7166.5,7165.5,7165.5,332095,46.34242716
2020-01-01 01:26:00,BTCUSD,1,1577834760,7165.5,7166,7165.5,7165.5,164578,22.96809154
2020-01-01 01:27:00,BTCUSD,1,1577834820,7165.5,7166,7165.5,7165.5,43684,6.09641399
2020-01-01 01:28:00,BTCUSD,1,1577834880,7165.5,7165.5,7165.5,7165.5,9013,1.25783266
2020-01-01 01:29:00,BTCUSD,1,1577834940,7165.5,7166,7165.5,7165.5,3511,0.48998669
2020-01-01 01:30:00,BTCUSD,1,1577835000,7165.5,7166,7165.5,7165.5,329268,45.95179792
2020-01-01 01:31:00,BTCUSD,1,1577835060,7165.5,7165.5,7164.5,7164.5,355192,49.57625046
2020-01-01 01:32:00,BTCUSD,1,1577835120,7164.5,7165,7164.5,7164.5,121101,16.90257982
2020-01-01 01:33:00,BTCUSD,1,1577835180,7164.5,7164.5,7164.5,7164.5,8163,1.13936768
2020-01-01 01:34:00,BTCUSD,1,1577835240,7164.5,7165,7164.5,7164.5,23159,3.23241688
2020-01-01 01:35:00,BTCUSD,1,1577835300,7164.5,7165,7164.5,7165,14728,2.055558
2020-01-01 01:36:00,BTCUSD,1,1577835360,7165,7165,7164.5,7165,2846,0.39723441
2020-01-01 01:37:00,BTCUSD,1,1577835420,7165,7165,7164.5,7164.5,87691,12.23887456
2020-01-01 01:38:00,BTCUSD,1,1577835480,7164.5,7164.5,7164.5,7164.5,3463,0.48335543
2020-01-01 01:39:00,BTCUSD,1,1577835540,7164.5,7164.5,7164.5,7164.5,100,0.0139577
2020-01-01 01:40:00,BTCUSD,1,1577835600,7164.5,7165,7164.5,7165,18275,2.5506328
2020-01-01 01:41:00,BTCUSD,1,1577835660,7165,7166,7165,7166,240284,33.53377824
2020-01-01 01:42:00,BTCUSD,1,1577835720,7166,7168.5,7166,7168,107941,15.05877486
2020-01-01 01:43:00,BTCUSD,1,1577835780,7168,7170.5,7168,7170.5,278205,38.79987146
2020-01-01 01:44:00,BTCUSD,1,1577835840,7170.5,7170.5,7170,7170,12651,1.76440972
2020-01-01 01:45:00,BTCUSD,1,1577835900,7170,7170.5,7170,7170,4044,0.56398824
2020-01-01 01:46:00,BTCUSD,1,1577835960,7170,7170.5,7170,7170.5,14251,1.98757741
2020-01-01 01:47:00,BTCUSD,1,1577836020,7170.5,7170.5,7170,7170.5,34797,4.85287706
2020-01-01 01:48:00,BTCUSD,1,1577836080,7170.5,7172.5,7170.5,7172.5,549607,76.62810507
2020-01-01 01:49:00,BTCUSD,1,1577836140,7172.5,7172.5,7172,7172.5,237995,33.18173977
2020-01-01 01:50:00,BTCUSD,1,1577836200,7172.5,7172.5,7172,7172.5,380267,53.0209909
2020-01-01 01:51:00,BTCUSD,1,1577836260,7172.5,7174.5,7172.5,7174.5,18683,2.60472116
2020-01-01 01:52:00,BTCUSD,1,1577836320,7174.5,7180,7174.5,7180,574619,80.04924553
2020-01-01 01:53:00,BTCUSD,1,1577836380,7180,7180,7179,7179,190448,26.5252606
2020-01-01 01:54:00,BTCUSD,1,1577836440,7179,7179.5,7179,7179,61184,8.52244017
2020-01-01 01:55:00,BTCUSD,1,1577836500,7179,7179.5,7179,7179.5,43705,6.08749246
2020-01-01 01:56:00,BTCUSD,1,1577836560,7179.5,7179.5,7171,7171,402894,56.13258173
2020-01-01 01:57:00,BTCUSD,1,1577836620,7171,7171,7169,7169,511041,71.27808345
2020-01-01 01:58:00,BTCUSD,1,1577836680,7169,7169,7169,7169,76826,10.71641778
2020-01-01 01:59:00,BTCUSD,1,1577836740,7169,7169,7168.5,7169,38770,5.40816324
2020-01-01 02:00:00,BTCUSD,1,1577836800,7169,7169,7159.5,7159.5,725520,101.31537516
2020-01-01 02:01:00,BTCUSD,1,1577836860,7159.5,7160,7159.5,7159.5,244583,34.16084956
2020-01-01 02:02:00,BTCUSD,1,1577836920,7159.5,7160,7157,7157,498792,69.68392456
2020-01-01 02:03:00,BTCUSD,1,1577836980,7157,7160.5,7157,7160.5,496628,69.38884857
2020-01-01 02:04:00,BTCUSD,1,1577837040,7160.5,7160.5,7157,7157,246266,34.40705428
2020-01-01 02:05:00,BTCUSD,1,1577837100,7157,7157.5,7156.5,7156.5,1358828,189.8648086
2020-01-01 02:06:00,BTCUSD,1,1577837160,7156.5,7157.5,7156.5,7157,76702,10.71705613
2020-01-01 02:07:00,BTCUSD,1,1577837220,7157,7157.5,7157,7157,168228,23.50401727
2020-01-01 02:08:00,BTCUSD,1,1577837280,7157,7160,7157,7160,251488,35.13585513
2020-01-01 02:09:00,BTCUSD,1,1577837340,7160,7164.5,7160,7164.5,340727,47.58043696
2020-01-01 02:10:00,BTCUSD,1,1577837400,7164.5,7165.5,7164.5,7165,352185,49.15029196
2020-01-01 02:11:00,BTCUSD,1,1577837460,7165,7165.5,7165,7165,455,0.06350239
2020-01-01 02:12:00,BTCUSD,1,1577837520,7165,7165.5,7165,7165,7637,1.06587478
2020-01-01 02:13:00,BTCUSD,1,1577837580,7165,7165.5,7161,7161,27807,3.8818347
2020-01-01 02:14:00,BTCUSD,1,1577837640,7161,7161,7159,7159,38621,5.39382373
2020-01-01 02:15:00,BTCUSD,1,1577837700,7159,7159.5,7159,7159.5,5603,0.78264668
2020-01-01 02:16:00,BTCUSD,1,1577837760,7159.5,7159.5,7159,7159.5,19892,2.7784222
2020-01-01 02:17:00,BTCUSD,1,1577837820,7159.5,7159.5,7159,7159.5,39056,5.45525125
2020-01-01 02:18:00,BTCUSD,1,1577837880,7159.5,7159.5,7158.5,7158.5,201500,28.1477536
2020-01-01 02:19:00,BTCUSD,1,1577837940,7158.5,7159,7158.5,7158.5,352128,49.18945156
2020-01-01 02:20:00,BTCUSD,1,1577838000,7158.5,7158.5,7158.5,7158.5,373487,52.17391901
2020-01-01 02:21:00,BTCUSD,1,1577838060,7158.5,7159,7158.5,7159,246721,34.46502149
2020-01-01 02:22:00,BTCUSD,1,1577838120,7159,7159,7158.5,7158.5,9639,1.34646234
2020-01-01 02:23:00,BTCUSD,1,1577838180,7158.5,7159,7158.5,7158.5,11870,1.65816667
2020-01-01 02:24:00,BTCUSD,1,1577838240,7158.5,7159,7158.5,7158.5,80538,11.2506703
2020-01-01 02:25:00,BTCUSD,1,1577838300,7158.5,7159,7158.5,7158.5,1462,0.2042194
2020-01-01 02:26:00,BTCUSD,1,1577838360,7158.5,7160,7158.5,7159.5,157021,21.93334928
2020-01-01 02:27:00,BTCUSD,1,1577838420,7159.5,7160,7159.5,7159.5,34329,4.79487679
2020-01-01 02:28:00,BTCUSD,1,1577838480,7159.5,7160,7159.5,7160,205600,28.71703939
2020-01-01 02:29:00,BTCUSD,1,1577838540,7160,7160,7158,7158,378773,52.91506761
2020-01-01 02:30:00,BTCUSD,1,1577838600,7158,7161,7158,7160.5,586615,81.93256534
2020-01-01 02:31:00,BTCUSD,1,1577838660,7160.5,7161,7160.5,7161,160092,22.35609549
2020-01-01 02:32:00,BTCUSD,1,1577838720,7161,7161,7160.5,7160.5,28985,4.04763126
2020-01-01 02:33:00,BTCUSD,1,1577838780,7160.5,7160.5,7160.5,7160.5,102545,14.32092728
2020-01-01 02:34:00,BTCUSD,1,1577838840,7160.5,7160.5,7160.5,7160.5,723,0.10097059
2020-01-01 02:35:00,BTCUSD,1,1577838900,7160.5,7160.5,7159.5,7160,221380,30.92020182
2020-01-01 02:36:00,BTCUSD,1,1577838960,7160,7160,7159.5,7159.5,142750,19.93853827
2020-01-01 02:37:00,BTCUSD,1,1577839020,7159.5,7160,7159.5,7159.5,235714,32.92293234
2020-01-01 02:38:00,BTCUSD,1,1577839080,7159.5,7160,7159.5,7159.5,290752,40.61050102
2020-01-01 02:39:00,BTCUSD,1,1577839140,7159.5,7159.5,7159.5,7159.5,279015,38.97129677
2020-01-01 02:40:00,BTCUSD,1,1577839200,7159.5,7159.5,7159.5,7159.5,391687,54.70870858
2020-01-01 02:41:00,BTCUSD,1,1577839260,7159.5,7159.5,7159.5,7159.5,2147,0.29988127
2020-01-01 02:42:00,BTCUSD,1,1577839320,7159.5,7159.5,7159.5,7159.5,0,0
2020-01-01 02:43:00,BTCUSD,1,1577839380,7159.5,7159.5,7159,7159,568935,79.47119578
2020-01-01 02:44:00,BTCUSD,1,1577839440,7159,7159,7159,7159,362858,50.68557053
2020-01-01 02:45:00,BTCUSD,1,1577839500,7159,7159.5,7157,7157,288598,40.31593847
2020-01-01 02:46:00,BTCUSD,1,1577839560,7157,7157.5,7157,7157.5,2920,0.40796776
2020-01-01 02:47:00,BTCUSD,1,1577839620,7157.5,7157.5,7157,7157,36238,5.06326337
2020-01-01 02:48:00,BTCUSD,1,1577839680,7157,7157,7157,7157,2130,0.29761072
2020-01-01 02:49:00,BTCUSD,1,1577839740,7157,7157.5,7157,7157,14242,1.98992122
2020-01-01 02:50:00,BTCUSD,1,1577839800,7157,7157.5,7157,7157.5,296185,41.38381043
2020-01-01 02:51:00,BTCUSD,1,1577839860,7157.5,7157.5,7157,7157,86381,12.06944238
2020-01-01 02:52:00,BTCUSD,1,1577839920,7157,7157,7155,7155,358581,50.10686911
2020-01-01 02:53:00,BTCUSD,1,1577839980,7155,7155.5,7155,7155,438368,61.26736031
2020-01-01 02:54:00,BTCUSD,1,1577840040,7155,7155.5,7155,7155,334396,46.73598285
2020-01-01 02:55:00,BTCUSD,1,1577840100,7155,7155,7155,7155,335456,46.88413687
2020-01-01 02:56:00,BTCUSD,1,1577840160,7155,7155,7155,7155,19638,2.74465403
2020-01-01 02:57:00,BTCUSD,1,1577840220,7155,7155,7155,7155,213239,29.80279517
2020-01-01 02:58:00,BTCUSD,1,1577840280,7155,7155.5,7155,7155,36391,5.08599512
2020-01-01 02:59:00,BTCUSD,1,1577840340,7155,7155.5,7154.5,7154.5,67521,9.43697075
2020-01-01 03:00:00,BTCUSD,1,1577840400,7154.5,7155,7154.5,7154.5,481941,67.36193265
2020-01-01 03:01:00,BTCUSD,1,1577840460,7154.5,7155,7154.5,7154.5,317797,44.41876324
2020-01-01 03:02:00,BTCUSD,1,1577840520,7154.5,7157.5,7154.5,7157.5,956546,133.67779361
2020-01-01 03:03:00,BTCUSD,1,1577840580,7157.5,7157.5,7157,7157.5,251580,35.14916495
2020-01-01 03:04:00,BTCUSD,1,1577840640,7157.5,7157.5,7157.5,7157.5,81704,11.41515889
2020-01-01 03:05:00,BTCUSD,1,1577840700,7157.5,7159,7157,7159,221232,30.90350474
2020-01-01 03:06:00,BTCUSD,1,1577840760,7159,7162.5,7158.5,7162.5,271948,37.9741556
2020-01-01 03:07:00,BTCUSD,1,1577840820,7162.5,7164,7162.5,7164,335291,46.80737677
2020-01-01 03:08:00,BTCUSD,1,1577840880,7164,7164,7164,7164,90228,12.59463984
2020-01-01 03:09:00,BTCUSD,1,1577840940,7164,7164,7163.5,7164,181834,25.38163521
2020-01-01 03:10:00,BTCUSD,1,1577841000,7164,7164,7163.5,7163.5,75783,10.57831789
2020-01-01 03:11:00,BTCUSD,1,1577841060,7163.5,7165,7163.5,7165,97687,13.63440269
2020-01-01 03:12:00,BTCUSD,1,1577841120,7165,7166,7164.5,7166,7396,1.03218302
2020-01-01 03:13:00,BTCUSD,1,1577841180,7166,7167,7166,7167,30420,4.24445849
2020-01-01 03:14:00,BTCUSD,1,1577841240,7167,7167,7166.5,7166.5,20020,2.79355137
2020-01-01 03:15:00,BTCUSD,1,1577841300,7166.5,7167,7166.5,7167,37490,5.23092207
2020-01-01 03:16:00,BTCUSD,1,1577841360,7167,7167,7167,7167,339,0.04730011
2020-01-01 03:17:00,BTCUSD,1,1577841420,7167,7167,7167,7167,11088,1.54709082
2020-01-01 03:18:00,BTCUSD,1,1577841480,7167,7167,7167,7167,2590,0.36137854
2020-01-01 03:19:00,BTCUSD,1,1577841540,7167,7167,7166.5,7166.5,4547,0.63444092
